"","Breast","CRC","GBM","Hepatobiliary","Lung","Pancreas","average"
"Sensitivity",1,1,0.75,0.909090909090909,0.545454545454545,0.545454545454545,0.791666666666667
"Specificity",0.727272727272727,0.545454545454545,0.727272727272727,1,1,1,0.833333333333333
"Pos Pred Value",0.7,0.615384615384615,0.666666666666667,1,1,1,0.83034188034188
"Neg Pred Value",1,1,0.8,0.666666666666667,0.705882352941177,0.583333333333333,0.79264705882353
"Precision",0.7,0.615384615384615,0.666666666666667,1,1,1,0.83034188034188
"Recall",1,1,0.75,0.909090909090909,0.545454545454545,0.545454545454545,0.791666666666667
"F1",0.823529411764706,0.761904761904762,0.705882352941177,0.952380952380952,0.705882352941176,0.705882352941176,0.775910364145658
"Prevalence",0.388888888888889,0.421052631578947,0.421052631578947,0.846153846153846,0.478260869565217,0.611111111111111,0.527753329812826
"Detection Rate",0.388888888888889,0.421052631578947,0.315789473684211,0.769230769230769,0.260869565217391,0.333333333333333,0.414860776988923
"Detection Prevalence",0.555555555555556,0.684210526315789,0.473684210526316,0.769230769230769,0.260869565217391,0.333333333333333,0.512813993363192
"Balanced Accuracy",0.863636363636364,0.772727272727273,0.738636363636364,0.954545454545455,0.772727272727273,0.772727272727273,0.8125
